景点名称,景点标签,景点地址
翠湖文体公园,旅游景点;公园,广东省深圳市罗湖区沙湾路与太白路交叉口
大望公园,旅游景点;公园,新平大道9号
东乐社区公园,旅游景点;公园,深圳市罗湖区布心路1023号
园科公园,旅游景点;公园,广东省深圳市罗湖区翠竹街道翠竹社区东门北路2070号
深圳金石艺术博物馆,旅游景点;博物馆,深圳市罗湖区望桐新路1号
大铜钟,旅游景点;风景区,深圳市罗湖区东门步行街与人民北路交叉路口东侧
向西爱月张公祠,旅游景点;风景区,广东省深圳市罗湖区向西路58号
梧桐文体公园,旅游景点;公园,深圳市罗湖区新二路66号附近
东门社区公园,旅游景点;公园,深圳市罗湖区深南东路2012-6号旁
梧桐山风景名胜区-十里杜鹃,旅游景点,广东省深圳市罗湖区莲塘罗沙路2076号
红岗花园社区公园,旅游景点;公园,深圳市罗湖区红岗路1046号
静逸湖,旅游景点;景点,深圳市罗湖区文锦北路2023号洪湖公园内
金山亭,旅游景点;风景区,深圳市罗湖区淘金山绿道淘金山小学东侧约250米
翠锦社区公园,旅游景点;公园,深圳市罗湖区文锦北路2098旁
向阳门,旅游景点,深圳市罗湖区大望中路望湖苑西侧约180米
碧波公园,旅游景点;公园,深圳市罗湖区沿河北路深圳市罗湖区教工幼儿园御湖峰校区西北侧约80米
三角台公园,旅游景点;公园,深圳市罗湖区人民公园路桂龙家园东侧约120米
柯蓝散文诗长廊,旅游景点;景点,深圳市罗湖区莲塘仙湖路160号仙湖植物园内盆景园
风帆台,旅游景点;景点,深圳市罗湖区莲塘罗沙路2076号梧桐山风景名胜区仙桐景区
光明殿,旅游景点;文物古迹,深圳市罗湖区莲塘仙湖路160号仙湖植物园内弘法寺
银湖社区文体公园,旅游景点;公园,广东省深圳市罗湖区金湖路银湖社区文体广场
天后宫,旅游景点;文物古迹,广东省深圳市罗湖区笋岗新路70号
周恩来雕像,旅游景点;景点,深圳市罗湖区黄贝街道爱国路4006号东湖公园
镜湖,旅游景点;风景区,深圳市罗湖区仙湖路160号深圳仙湖植物园内深圳仙湖植物园野营区附近
新谊社区公园,旅游景点;公园,深圳市罗湖区凤凰街凤凰小区南侧
深圳专家林,旅游景点;景点,深圳市罗湖区莲塘仙湖路160号仙湖植物园内罗汉松园
深圳市罗湖区孩乐堡儿童游乐馆(金光华广场店),旅游景点;游乐园,广东省深圳市罗湖区南湖街道罗湖社区人民南路2028号金光华广场F5
笔架山河,旅游景点;景点,深圳市罗湖区北环大道1010号
石亭,旅游景点;景点,深圳市罗湖区莲塘仙湖路160号深圳仙湖植物园内
百汇大厦小区-公园,旅游景点;公园,广东省深圳市罗湖区笋岗路3019号
爸妈惊喜博物馆,旅游景点;博物馆,广东省深圳市罗湖区东湖街道梧桐山艺术小镇赤水洞26号2楼
罗湖区文化广电旅游体育局,旅游景点,广东省深圳市罗湖区文锦中路108号
水景园,旅游景点;公园,深圳市罗湖区红莲一路深圳仙湖植物园
深圳水库排洪河碧道,旅游景点;风景区,广东省深圳市罗湖区罗芳路2号
淘金揽秀,旅游景点;景点,深圳市罗湖区丹平快速路与淘金山绿道交叉路口往北约70米
深圳市罗湖区惠风古陶博物馆,旅游景点;博物馆,广东省深圳市罗湖区新秀路168号深圳古玩城2栋5楼
陈德昌鼎道生态,旅游景点,广东省深圳市罗湖区东湖街道翠荫路268
IBC珠宝游戏互动区,旅游景点,广东省深圳市罗湖区布心路3008号IBC MALLF4
赏花台,旅游景点;景点,深圳市罗湖区望桐路梧桐山内梧桐烟云景区
国家基因库深圳市仙湖植物园-活体库,旅游景点;景点,广东省深圳市罗湖区仙湖植物园科技楼
梧桐山-空灵谷,旅游景点;风景区,广东省深圳市罗湖区横排岭村
游心斋,旅游景点;其他,广东省深圳市罗湖区黄贝街道爱国路1街11号东湖公园(西北角)
小牧童儿童乐园(宝能环球汇店),旅游景点;游乐园,广东省深圳市罗湖区笋岗街道田心社区宝安北路3008号宝能中心F栋3层
太空飞车,旅游景点;景点,深圳市罗湖区童乐路12号深圳市儿童公园
仙桐景区,旅游景点;景点,深圳市罗湖区莲塘罗沙路2076号梧桐山风景名胜区
观雅亭,旅游景点;风景区,深圳市罗湖区黄贝岭二路深业东岭西北侧约70米
观云听雨,旅游景点;风景区,深圳市罗湖区黄贝岭深业东岭西北(凤凰路北)
驴和狼雕塑,旅游景点,深圳市罗湖区东门中路2269号深圳儿童公园内
锁龙桥,旅游景点;景点,广东省深圳市罗湖区仙湖路160号仙湖植物园
罗湖人才公园,旅游景点;公园,深圳市罗湖区清水河街道银湖路东200米
银湖山红岗公园,旅游景点;公园,广东省深圳市罗湖区坭岗东路1112号
银湖山郊野公园,旅游景点;公园,广东省深圳市罗湖区清水河街道银湖社区
罗湖体育休闲公园,旅游景点;公园,深圳市罗湖区黄贝街道办爱国路东湖二路10号
深圳市阳光儿童乐园,旅游景点;游乐园,广东省深圳市罗湖区罗沙路5030号
地王观光深港之窗,旅游景点,广东省深圳市罗湖区深南东路5002号信兴广场F1
笋岗村牌坊,旅游景点,广东省深圳市罗湖区宝岗路90号
梧桐山艺术小镇,旅游景点,罗湖区东湖街道梧桐山社区望桐路茂仔村75号二楼
