景点名称,景点标签,景点地址
深圳市梵亚艺术博物馆,旅游景点;博物馆,广东省深圳市龙岗区布龙路18号赛格ECO中心五号楼12楼1201~1209室
龙岗关帝庙,旅游景点;寺庙,广东省深圳市龙岗区新布新路
反斗乐园(坂田max city百佳华购物中心店),旅游景点;游乐园,广东省深圳市龙岗区坂田街道大发埔社区五和大道与吉华路交汇处西南角max city百佳华购物中心F3
深圳市龙岗区贵宾美食露营基地,旅游景点;其他,广东省深圳市龙岗区宝冠路伟康德集团宏德辉工业园
谭仙公庙,旅游景点;寺庙,广东省深圳市龙岗区北山道与平盐路交叉口西100米
深圳中医药博物馆,旅游景点;博物馆,深圳市龙岗区大运路深圳市龙岗区中医院
深圳安迪游艇,旅游景点,广东省深圳市龙岗区南澳街道X260(南澳新东路)
野恩鸟园(万达广场深圳龙岗店),旅游景点;动物园,广东省深圳市龙岗区平湖街道华南二道1号万达广场F4
深圳东纵军政干部学校旧址,旅游景点;景点,深圳市龙岗区大鹏镇鹏城东门外龙头山腰的东山寺内
深圳市立水龙城水上游乐有限公司,旅游景点;游乐园,广东省深圳市龙岗区龙岗街道龙岗中心城圳埔南路58号
旅图深圳西涌营地,旅游景点;其他,广东省深圳市龙岗区S359(三五九线)
深圳大鹏新区金沙湾·汐野海景露营地,旅游景点;其他,深圳市龙岗区金沙西路大鹏金沙湾度假区
深圳市东部海堤碧道（环湾滨海碧道）,旅游景点;风景区,广东省深圳市龙岗区
深圳市国际生物谷坝光湿地园,旅游景点;植物园,广东省深圳市龙岗区葵涌街道Y243(排牙山路)
深圳市丁全匠作博物馆,旅游景点;博物馆,广东省深圳市龙岗区平湖街道新木社区新木大道51号C栋
深圳市玄武观,旅游景点;文物古迹,广东省深圳市龙岗区平龙东路242号
平湖生态园,旅游景点;公园,广东省深圳市龙岗区平湖街道上木古社区生态园路1号(华南城西门对面)
坪地湿地公园,旅游景点;公园,广东省深圳市龙岗区坪地街道中心社区长美岭片区鲤鱼坝
凤凰山国家矿山公园,旅游景点;公园,深圳市龙岗区平湖镇双拥街186号斜对面
深圳市天文台,旅游景点,广东省深圳市龙岗区西涌社区西涌海滩4号入口崖头顶附近
龙岗区科技馆,旅游景点;其他,广东省深圳市龙岗区龙翔大道8028号
深圳凤山寺,旅游景点;文物古迹,广东省深圳市龙岗区吓坑二路50号
玫瑰小镇,旅游景点,深圳市龙岗区大鹏街道布新路12号
深圳市大鹏新区古城博物馆,旅游景点;博物馆,广东省深圳市龙岗区大鹏镇鹏城村赖府巷10号
深圳东冲沙滩-东西冲徒步,旅游景点;其他,广东省深圳市龙岗区南澳街道东冲村东涌路东冲沙滩
