景点名称,景点标签,景点地址
望牛亭(政丰北路),旅游景点;公园,深圳市宝安区福永街道白石夏社区望牛亭小区二巷六号一楼101
燕罗湿地公园,旅游景点;景点,广东省深圳市宝安区公明西环大道与松福大道交叉路口往西北约290米
凤凰塔,旅游景点;风景区,广东省深圳市宝安区凤凰山大道198号
南昌公园,旅游景点;公园,深圳市宝安区南昌路与固戍二路交叉路口
石岩湿地公园,旅游景点;公园,广东省深圳市宝安区塘头大道
大王山公园,旅游景点;公园,广东省深圳市宝安区沙井街道南环路南侧(大王山新村附近)
上村下辇牌坊,旅游景点;其他,深圳市宝安区公明街道上村社区下辇村民生大道
草围公园,旅游景点;公园,广东省深圳市宝安区黄田草围村龟山路21号
平峦山公园,旅游景点;公园,深圳市宝安区西乡街道桃源社区前进二路与宝田三路交叉口(近桃源居)
沙井老街公园,旅游景点;公园,广东省深圳市宝安区沙井大街188号
万景楼,旅游景点;风景区,深圳市宝安区新桥街道沙井中心路19号
燕岭公园,旅游景点;公园,深圳市宝安区红湖路92号斜对面
桥头社区公园,旅游景点;公园,广东省深圳市宝安区新村路
宝安一大纪念馆,旅游景点;景点,广东省深圳市宝安区燕罗街道公园路燕川文化广场西北
松岗花果山公园,旅游景点;公园,深圳市宝安区松环路30号北100米
罗租岭公园,旅游景点;公园,深圳市宝安区如意路167号
旭生美术馆,旅游景点;其他,广东省深圳市宝安区宝安大道4004号旭生大厦3层
大顶岭山林公园,旅游景点;公园,广东省深圳市光明区光明街道迳口社区碧水路光明农场内(光明农场大观园东南侧)
薯田埔龟山公园,旅游景点;公园,马田街道茨田埔社区
翠岗公园,旅游景点;公园,广东省深圳市宝安区福永街道怀德南路52号
西乡公园,旅游景点;公园,深圳市宝安区富成路160号
步涌体育公园,旅游景点;公园,广东省深圳市宝安区新和大道76号
将石社区公园,旅游景点;公园,广东省深圳市光明区马田街道石围社区后底坑路
公明街心公园,旅游景点;公园,广东省深圳市光明区公明街道公平路73号吉星电脑科技
麒麟山公园,旅游景点;公园,深圳市宝安区燕罗街道洪桥头社区沙江东路以北
新二村公园,旅游景点;公园,广东省深圳市宝安区新二路107号
大钟山公园,旅游景点;公园,广东省深圳市宝安区新桥街道万丰社区万丰中路303号
簕杜鹃谷公园,旅游景点;公园,广东省深圳市宝安区九围愉盛工业园西10米
曾氏大宗祠,旅游景点;文物古迹,深圳市宝安区大宗祠广场路1号
宝安耶稣君王堂,旅游景点;教堂,深圳市宝安区上川路469号附近
文天祥纪念馆,旅游景点;文物古迹,深圳市宝安区永凤路
乌石岩公园,旅游景点;公园,广东省深圳市宝安区墟背老街96号
基督教宝安堂,旅游景点;教堂,深圳市宝安区流塘路东区4号
天主堂,旅游景点;教堂,广东省深圳市宝安区留仙一路50号
森海诺文创公园,旅游景点;公园,广东省深圳市宝安区塘头大道33号7楼
上山门社区怡乐公园,旅游景点;公园,深圳市宝安区上山门七巷与上山门路交叉口东50米
深圳前海·华发冰雪世界,旅游景点;其他,广东省深圳市宝安区沙井街道和一社区沙井南环路西段(会展城地铁站北侧)
深圳市宝安区基督教松岗堂,旅游景点;教堂,深圳市宝安区燕罗路31号
深圳市宝安区邹鲁潮汕民俗博物馆,旅游景点;博物馆,广东省深圳市宝安区西乡大道280号文化潮汕博览园6层
沙井蚝文化博物馆,旅游景点;博物馆,深圳市宝安区沙井大街299号
宝安抗日纪念馆,旅游景点;文物古迹,深圳市宝安区松岗燕罗街道公园路燕川北巷
深圳市合正艺术博物馆,旅游景点;博物馆,深圳市宝安区新安中洲华府七栋201
深圳市宝安区美术馆,旅游景点;其他,广东省深圳市宝安区前进二路23-60号流塘阳光花园c座203号
洪桥头公园,旅游景点;公园,深圳市宝安区中国邮政门口
世纪琥珀博物馆,旅游景点;博物馆,广东省深圳市宝安区松瑞路松岗琥珀交易市场3楼3r036号
青草蜓,旅游景点;景点,广东省深圳市宝安区石岩街道环湖碧道青草排公园
文氏大宗祠,旅游景点;文物古迹,广东省深圳市宝安区松岗文天祥纪念馆(红星幼儿园东)
宝安3D打印公园,旅游景点;公园,深圳市宝安区滨江大道中建三局深圳国际会展中心项目工人生活区西南侧约240米
燕山社区公园,旅游景点;公园,深圳市宝安区洋涌路深翔工业园西北侧约170米
石猴探海,旅游景点;景点,深圳市宝安区阳台山森林公园内
锦绣园,旅游景点,广东省深圳市宝安区公明办事处西田路工明村
拈花观景台,旅游景点,广东省深圳市宝安区环石岩湖绿道
宝安区兴围烈士纪念碑,旅游景点;文物古迹,广东深圳市宝安区瑞发路116号114号
23区社区公园,旅游景点;公园,深圳市宝安区大宝路与海圳路交叉路口往西南约110米
合成号深圳民俗文化产业园,旅游景点,广东省深圳市宝安区群力二路1号
上排旧村赵氏宗祠,旅游景点;文物古迹,深圳市宝安区上排村路精英美地花园东南侧约70米
宝安母亲林,旅游景点;风景区,深圳市宝安区东方一路与松岗大道交叉路口往东北约190米
承露台,旅游景点;景点,深圳市宝安区阳台山森林公园
山川出云,旅游景点;景点,深圳市宝安区环石岩湖绿道石岩湿地公园
深圳三社美术馆,旅游景点;其他,广东省深圳市宝安区沙井松岗街道潭头芙蓉三路恒生工业园内湘当爱餐饮管理有限公司总部四楼
新桥中心公园深圳市宝安区,旅游景点,深圳市宝安区新玉大道保利达湾景商务中心
深圳国际会展沙井,旅游景点,广东深圳市宝安区中心路110号
茅洲河碧道宝安区段-亲水活力公园,旅游景点;公园,深圳市宝安区洋涌路翠逸居南侧约90米
叠台盈波景点,旅游景点;景点,广东省深圳市宝安区铁仔山公园路
深圳之夜·海上田园不夜城,旅游景点,广东省深圳市宝安区沙井海上田园内
茅洲河碧道宝安区段-碧道之环,旅游景点;景点,深圳市宝安区松罗路深翔工业园西侧约160米
深圳直升机观光旅游区,旅游景点;风景区,广东省深圳市宝安区西乡街道西乡大道270-1
