景点名称,景点标签,景点地址
佳佳乐亲子乐园(观澜分店),旅游景点;游乐园,广东省深圳市龙华区塘前樟企路1号
观澜山水田园生态水上乐园,旅游景点;游乐园,深圳市龙华区观澜镇环观南路观澜山水田园旅游文化园内
龙华公园,旅游景点;公园,深圳市龙华区公园路与景龙中环路交叉路口往西北约50米(龙华荔园新村西北侧约100米)
观澜山水田园文化园,旅游景点;风景区,深圳市龙华区观澜街道君子布社区环观南路
深圳民法公园,旅游景点;公园,深圳市龙华区公园路4号
观澜古寺,旅游景点;文物古迹,广东省深圳市龙华区沿河路观澜古墟西南部
大浪绿道,旅游景点;其他,广东省深圳市龙华区新岭路93-25号
龙华环城绿道(阳台山段),旅游景点;其他,深圳市龙华区福龙路(羊台山森林公园)
龙胜公园,旅游景点;公园,深圳市龙华区龙胜新村a区67栋303室
观澜湖生态运动公社,旅游景点,广东省深圳市龙华区观澜街道高尔夫大道1号
上围艺术村,旅游景点;风景区,深圳市龙华区上围村东区95号
中国版画博物馆,旅游景点;博物馆,广东省深圳市龙华区观澜街道牛湖社区裕新路125号
樟坑径公园,旅游景点;公园,广东省深圳市龙华区观湖街道樟坑径社区安澜路312号
民治社区公园,旅游景点;公园,广东省深圳市龙华区民治街道民旺路88号
三联公园,旅游景点;公园,广东省深圳市龙华区大浪南路与建辉路交叉路口向西140米
龙华绿廊公园,旅游景点;公园,深圳市龙华区民繁路汇龙湾花园西南侧
上油松牌坊,旅游景点,广东省深圳市龙华区上油松一路
浪口社区公园,旅游景点;公园,广东省深圳市龙华区大浪浪口工业区新宝盛酒店后面
艺之卉新锐美术馆,旅游景点;其他,广东省深圳市龙华区浪腾路6号
新艺公园,旅游景点;公园,广东省深圳市龙华区观澜新艺公园(宝湖路南70米)
青山绿水花海植物园,旅游景点;植物园,广东省深圳市龙华区大浪街道石龙仔路888号
深圳望野博物馆,旅游景点;博物馆,广东省深圳市龙华区龙华大道1377号龙华文化艺术中心三楼
阳台山森林公园-揽胜台,旅游景点;景点,深圳市龙华区阳台山森林公园内
新围社区公园,旅游景点;公园,广东省深圳市龙华区大浪街道华宁路9号
深圳市龙华区典心猫儿童游乐中心,旅游景点,深圳市龙华区龙华和平路大润发(龙华店)
百年时尚博物馆,旅游景点;博物馆,广东省深圳市龙华区浪腾路2号(艺之卉产业园)
民新社区公园,旅游景点;公园,深圳市龙华区平安路皓月花园北侧
观音庙,旅游景点;文物古迹,深圳市龙华区观澜镇君子布村环观南路观澜山水田园旅游文化园内
深圳龙华观澜高尔夫球会源野营地,旅游景点;其他,广东省深圳市龙华区观澜街道G94(珠三角环线高速)
观澜湖大地生态艺术园-1号观景台,旅游景点,广东省深圳市龙华区观澜高尔夫大道1号观澜湖生态运动公社内(东南角)
狮径公园,旅游景点;公园,广东省深圳市龙华区悦兴路166号
龙华天主堂,旅游景点;教堂,广东省深圳市龙华区高尔夫大道1010号
龙华观澜中心公园露营地,旅游景点;其他,深圳市龙华区观盛三路中心公园
七七营地,旅游景点;其他,广东省深圳市龙华区福城街道观澜大道54-6
西华宫,旅游景点;文物古迹,深圳市龙华区龙华市场荣昌街93号
金湖湾体育公园,旅游景点;公园,广东省深圳市龙华区X231(观光路)
十一天台露营,旅游景点;其他,广东省深圳市龙华区龙华街道油联路12号德宝大厦701号(顶楼)
道堂(深圳分会),旅游景点;其他,广东省深圳市龙华区水尾旧村二巷2号附近
佛光院佛堂,旅游景点;景点,广东省深圳市龙华区石场路与联润路交叉口东北150米
滑行龙,旅游景点;景点,深圳市龙华区观澜高尔夫大道1号观澜湖生态体育园内
环高峰水库碧道,旅游景点;风景区,广东省深圳市龙华区环城绿道
乾洗,旅游景点;风景区,广东省深圳市龙华区福城街道福水路3号观澜佳纷天地B1
雄狮景观,旅游景点;景点,深圳市龙华区平安路皓月花园北侧约40米
上围村房田碉楼,旅游景点,深圳市龙华区上围路樟坑径公园东侧约140米
鱼玥生态景观,旅游景点,广东省深圳市龙华区观澜街道广培社区高尔夫大道8号观澜湖新城MH MALLF4
火焰公会,旅游景点,深圳市龙华区东环一路耀丰通运
张一村碉楼,旅游景点;文物古迹,深圳市龙华区黄背坑路哈瓦国际航空产业园东南侧约200米
田背村碉楼,旅游景点;文物古迹,深圳市龙华区茜坑田背路田背一村东南侧
梦幻儿童乐园(万众步行街万盛百货店),旅游景点;游乐园,深圳市龙华区万众步行街34号万盛百货(万众步行街店)F2
小宇宙恐龙乐园(百佳华商场龙华店),旅游景点;游乐园,广东省深圳市龙华区龙华街道人民北路291号百佳华商场F3
梦幻儿童乐园(大浪商业中心店),旅游景点;游乐园,广东省深圳市龙华区大浪街道同胜社区华旺路69-14号大浪商业中心万盛百货(中心店)F2
龙华河碧道1号段,旅游景点;风景区,广东省深圳市龙华区S3111(福龙路)
GDS深圳观澜,旅游景点,深圳市龙华区清平高速佳兆业E立方西北侧约130米
野站城,旅游景点;景点,深圳市龙华区老围工业区6号观澜山水田园旅游文化园观音阁旁边
hai宝贝儿童乐园(大唐时代店),旅游景点;游乐园,深圳市龙华区清龙路大唐代-B座北侧
魔法森林,旅游景点,深圳市龙华区高尔夫大道1号观澜湖大地生态艺术园
松元厦历史文化纪念堂,旅游景点;文物古迹,深圳市龙华区高尔夫大道408号
欧氏宗祠,旅游景点;文物古迹,深圳市龙华区蚌岭直街蚌岭新村社区北侧约30米
国际钢琴博物馆,旅游景点;博物馆,深圳市龙华区浪奔路石凹第二工业区
许愿池,旅游景点;景点,深圳市龙华区观澜镇君子布村环观南路观澜山水田园农庄旅游文化园内
古园,旅游景点,深圳市龙华区美澜路大和名居南侧约30米
大水田街心公园,旅游景点;公园,深圳市龙华区裕新路深圳恒湖商务酒店东北侧
龙华名公园,旅游景点;公园,深圳市龙华区华南路深国际华南物流
蛇地坑公园,旅游景点;公园,深圳市龙华区上围路金倡达科技园东南侧约260米
福城奋斗者公园,旅游景点;公园,广东省深圳市龙华区观兴西路
同富裕社区公园(园发路),旅游景点;公园,深圳市龙华区园发路新百丽工业园东南侧约130米
民治街道消防安全主题公园,旅游景点;公园,深圳市龙华区腾龙路龙塘新村西北侧
润德公祠,旅游景点;文物古迹,深圳市龙华区樟阁路章阁新村西北侧约110米
